model,experiment,ensemble,variable,zstore,domain
BCC-CSM2-MR,1pctCO2,r1i1p1f1,umo,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/umo/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,vmo,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/vmo/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,hurs,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/hurs/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,pbo,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/pbo/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,so,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/so/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,soga,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/soga/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,rsdt,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,mlotst,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/mlotst/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,tos,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/tos/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,thkcello,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/thkcello/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,thetaoga,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/thetaoga/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,thetao,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/thetao/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,sosga,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/sosga/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,vo,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/vo/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,wap,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/wap/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,fgco2,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/fgco2/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,prsn,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/prsn/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,prc,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/prc/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,volo,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/volo/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,wmo,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/wmo/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,zos,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/zos/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,pr,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/pr/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,tas,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,tasmax,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/tasmax/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,tasmin,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/tasmin/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,ts,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/ts/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,ua,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/ua/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,zostoga,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/zostoga/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,uo,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/uo/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,ta,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/ta/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,sfcWind,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/sfcWind/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,uas,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/uas/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,va,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/va/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,rtmt,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/rtmt/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,zg,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/zg/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,vas,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/vas/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,prw,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/prw/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,ps,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/ps/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,psl,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/psl/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,rlds,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/rlds/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,rlus,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/rlus/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,rlut,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,rlutcs,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/rlutcs/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,rsds,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/rsds/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,rsus,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/rsus/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,rsut,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/rsut/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,rsutcs,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/rsutcs/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,o3,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/o3/gn/v20181122/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,co2,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/co2/gn/v20181122/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,clwvi,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/clwvi/gn/v20190311/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,clivi,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/clivi/gn/v20190311/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,tauu,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/tauu/gn/v20190403/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,tauv,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/tauv/gn/v20190403/,Amon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,mrso,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Lmon/mrso/gn/v20181012/,Lmon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,mrsos,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Lmon/mrsos/gn/v20181012/,Lmon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,snw,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/LImon/snw/gn/v20181012/,LImon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,mrro,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Lmon/mrro/gn/v20181012/,Lmon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,simass,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/SImon/simass/gn/v20181012/,SImon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,sivol,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/SImon/sivol/gn/v20181012/,SImon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,sndmasssnf,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/SImon/sndmasssnf/gn/v20181012/,SImon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,siv,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/SImon/siv/gn/v20181012/,SImon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,siu,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/SImon/siu/gn/v20181012/,SImon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,sisnthick,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/SImon/sisnthick/gn/v20181012/,SImon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,sitemptop,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/SImon/sitemptop/gn/v20181012/,SImon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,volo,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Omon/volo/gn/v20181015/,Omon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,tosga,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Omon/tosga/gn/v20181015/,Omon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,tos,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Omon/tos/gn/v20181015/,Omon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,thkcello,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Omon/thkcello/gn/v20181015/,Omon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,thetaoga,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Omon/thetaoga/gn/v20181015/,Omon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,mlotst,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Omon/mlotst/gn/v20181015/,Omon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,masscello,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Omon/masscello/gn/v20181015/,Omon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,thetao,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Omon/thetao/gn/v20181015/,Omon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,sosga,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Omon/sosga/gn/v20181015/,Omon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,sos,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Omon/sos/gn/v20181015/,Omon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,soga,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Omon/soga/gn/v20181015/,Omon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,pbo,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Omon/pbo/gn/v20181015/,Omon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,masso,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Omon/masso/gn/v20181015/,Omon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,fgco2,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Omon/fgco2/gn/v20181015/,Omon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,zos,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Omon/zos/gn/v20181015/,Omon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,zostoga,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Omon/zostoga/gn/v20181015/,Omon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,hfls,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/hfls/gn/v20181016/,Amon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,evspsbl,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/evspsbl/gn/v20181016/,Amon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,tasmin,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/tasmin/gn/v20181016/,Amon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,rsus,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/rsus/gn/v20181016/,Amon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,rsut,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/rsut/gn/v20181016/,Amon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,rsutcs,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/rsutcs/gn/v20181016/,Amon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,rtmt,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/rtmt/gn/v20181016/,Amon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,hurs,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/hurs/gn/v20181016/,Amon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,hus,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/hus/gn/v20181016/,Amon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,huss,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/huss/gn/v20181016/,Amon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,cli,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/cli/gn/v20181016/,Amon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,cl,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/cl/gn/v20181016/,Amon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,pr,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/pr/gn/v20181016/,Amon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,prc,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/prc/gn/v20181016/,Amon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,prsn,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/prsn/gn/v20181016/,Amon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,hur,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/hur/gn/v20181016/,Amon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,prw,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/prw/gn/v20181016/,Amon
BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,psl,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/psl/gn/v20181016/,Amon
