,year,value,variable,stitching_id
1920,1947,-0.4816412477198923,tas,ssp245~r3i1p1f1~4
1921,1948,-0.5812972640084695,tas,ssp245~r3i1p1f1~4
2026,1985,-0.4737864048787514,tas,ssp245~r3i1p1f1~4
2027,1986,-0.6189825539082108,tas,ssp245~r3i1p1f1~4
2028,1987,-0.6890156087907826,tas,ssp245~r3i1p1f1~4
2029,1988,-0.6355065251989345,tas,ssp245~r3i1p1f1~4
2030,1989,-0.7136285942052609,tas,ssp245~r3i1p1f1~4
2031,1990,-0.5486846134896837,tas,ssp245~r3i1p1f1~4
2032,1991,-0.4774539711589796,tas,ssp245~r3i1p1f1~4
2033,1992,-0.2354684989361999,tas,ssp245~r3i1p1f1~4
2034,1993,-0.4363498257333162,tas,ssp245~r3i1p1f1~4
2052,2003,0.0060373853600026,tas,ssp245~r3i1p1f1~4
2053,2004,-0.0406161475371504,tas,ssp245~r3i1p1f1~4
2054,2005,0.1088018896796825,tas,ssp245~r3i1p1f1~4
2055,2006,0.0529065729878084,tas,ssp245~r3i1p1f1~4
2056,2007,0.1340313792564416,tas,ssp245~r3i1p1f1~4
2057,2008,0.1561634609404905,tas,ssp245~r3i1p1f1~4
2058,2009,0.1187055160335148,tas,ssp245~r3i1p1f1~4
2059,2010,0.2372635632206652,tas,ssp245~r3i1p1f1~4
2060,2011,0.3018222982694283,tas,ssp245~r3i1p1f1~4
2056,2012,0.1340313792564416,tas,ssp245~r3i1p1f1~4
2057,2013,0.1561634609404905,tas,ssp245~r3i1p1f1~4
2058,2014,0.1187055160335148,tas,ssp245~r3i1p1f1~4
2059,2015,0.2372635632206652,tas,ssp245~r3i1p1f1~4
2060,2016,0.3018222982694283,tas,ssp245~r3i1p1f1~4
2061,2017,0.2890900462514878,tas,ssp245~r3i1p1f1~4
2065,1859,-0.7465954139781275,tas,ssp245~r3i1p1f1~4
2066,1860,-0.6576756482472774,tas,ssp245~r3i1p1f1~4
2067,1861,-0.6805418958240921,tas,ssp245~r3i1p1f1~4
2068,1862,-0.7243416305096844,tas,ssp245~r3i1p1f1~4
2069,1863,-0.5783371648897742,tas,ssp245~r3i1p1f1~4
2070,1864,-0.6762136867922095,tas,ssp245~r3i1p1f1~4
2071,1865,-0.6418813651790174,tas,ssp245~r3i1p1f1~4
2072,1866,-0.7560782355463402,tas,ssp245~r3i1p1f1~4
2073,1867,-0.7493614130784749,tas,ssp245~r3i1p1f1~4
2183,1877,-0.8599627090610511,tas,ssp245~r3i1p1f1~4
2184,1878,-0.9322112784858518,tas,ssp245~r3i1p1f1~4
2185,1879,-0.7382788686611548,tas,ssp245~r3i1p1f1~4
2186,1880,-0.761738600302067,tas,ssp245~r3i1p1f1~4
2187,1881,-0.8404156448521007,tas,ssp245~r3i1p1f1~4
2188,1882,-0.8099039121432838,tas,ssp245~r3i1p1f1~4
2189,1883,-0.7790654461052782,tas,ssp245~r3i1p1f1~4
2190,1884,-0.6393252445357689,tas,ssp245~r3i1p1f1~4
2191,1885,-0.7246652093541002,tas,ssp245~r3i1p1f1~4
2163,1949,-0.7020104097954913,tas,ssp245~r3i1p1f1~4
2164,1950,-0.7621486873478034,tas,ssp245~r3i1p1f1~4
2165,1951,-0.7353096657433866,tas,ssp245~r3i1p1f1~4
2166,1952,-0.7709910152542534,tas,ssp245~r3i1p1f1~4
2167,1953,-0.7202725800758003,tas,ssp245~r3i1p1f1~4
2168,1954,-0.6764527195513779,tas,ssp245~r3i1p1f1~4
2169,1955,-0.7272121993144651,tas,ssp245~r3i1p1f1~4
2170,1956,-0.8120155526899566,tas,ssp245~r3i1p1f1~4
2171,1957,-0.7488436206004394,tas,ssp245~r3i1p1f1~4
2149,1976,-0.6047194912467262,tas,ssp245~r3i1p1f1~4
2150,1977,-0.6435532801154409,tas,ssp245~r3i1p1f1~4
2151,1978,-0.5646697805187273,tas,ssp245~r3i1p1f1~4
2152,1979,-0.6057295368367477,tas,ssp245~r3i1p1f1~4
2153,1980,-0.825935433942675,tas,ssp245~r3i1p1f1~4
2154,1981,-0.6315758144591541,tas,ssp245~r3i1p1f1~4
2155,1982,-0.5545310788200482,tas,ssp245~r3i1p1f1~4
2156,1983,-0.5337062321308963,tas,ssp245~r3i1p1f1~4
2157,1984,-0.6002822234706287,tas,ssp245~r3i1p1f1~4
2207,1994,-0.416112138855226,tas,ssp245~r3i1p1f1~4
2208,1995,-0.3724446095619669,tas,ssp245~r3i1p1f1~4
2209,1996,-0.3721933290095194,tas,ssp245~r3i1p1f1~4
2210,1997,-0.257174880324726,tas,ssp245~r3i1p1f1~4
2211,1998,-0.0349096776905071,tas,ssp245~r3i1p1f1~4
2212,1999,-0.0018071797355219,tas,ssp245~r3i1p1f1~4
2213,2000,0.1843619461622552,tas,ssp245~r3i1p1f1~4
2214,2001,0.0792964846059476,tas,ssp245~r3i1p1f1~4
2215,2002,0.0755338016064683,tas,ssp245~r3i1p1f1~4
1560,2018,0.2633364029836116,tas,ssp245~r3i1p1f1~4
1561,2019,0.3756623750969083,tas,ssp245~r3i1p1f1~4
1562,2020,0.3474454219779659,tas,ssp245~r3i1p1f1~4
1593,2066,1.7413336481848205,tas,ssp245~r3i1p1f1~4
1594,2067,1.871729579225928,tas,ssp245~r3i1p1f1~4
1595,2068,2.06341087271386,tas,ssp245~r3i1p1f1~4
1596,2069,1.912287916195396,tas,ssp245~r3i1p1f1~4
1597,2070,2.004343496754984,tas,ssp245~r3i1p1f1~4
1598,2071,2.27913490486236,tas,ssp245~r3i1p1f1~4
1599,2072,2.446653968358476,tas,ssp245~r3i1p1f1~4
1600,2073,2.401461239275136,tas,ssp245~r3i1p1f1~4
1601,2074,2.3708559086593937,tas,ssp245~r3i1p1f1~4
608,2039,1.0080790433110565,tas,ssp245~r3i1p1f1~4
609,2040,1.2309900791468067,tas,ssp245~r3i1p1f1~4
610,2041,1.2078513573963503,tas,ssp245~r3i1p1f1~4
611,2042,1.2868638045314924,tas,ssp245~r3i1p1f1~4
612,2043,1.266102302303466,tas,ssp245~r3i1p1f1~4
613,2044,1.4685223460971315,tas,ssp245~r3i1p1f1~4
614,2045,1.3399950887889531,tas,ssp245~r3i1p1f1~4
615,2046,1.42357222129084,tas,ssp245~r3i1p1f1~4
616,2047,1.383183897885658,tas,ssp245~r3i1p1f1~4
375,2057,2.03642614097231,tas,ssp245~r3i1p1f1~4
376,2058,1.898512026484639,tas,ssp245~r3i1p1f1~4
377,2059,1.9409976989465465,tas,ssp245~r3i1p1f1~4
378,2060,2.0589646753923603,tas,ssp245~r3i1p1f1~4
379,2061,1.9187977071298403,tas,ssp245~r3i1p1f1~4
380,2062,1.9757680073310555,tas,ssp245~r3i1p1f1~4
381,2063,1.982848452939777,tas,ssp245~r3i1p1f1~4
382,2064,1.7772132142616217,tas,ssp245~r3i1p1f1~4
383,2065,1.8017584764241972,tas,ssp245~r3i1p1f1~4
1656,2030,0.8299823880634563,tas,ssp245~r3i1p1f1~4
1657,2031,0.8550804913649017,tas,ssp245~r3i1p1f1~4
1658,2032,0.7710372031072552,tas,ssp245~r3i1p1f1~4
1659,2033,0.7595981464600641,tas,ssp245~r3i1p1f1~4
1660,2034,0.7445897257059073,tas,ssp245~r3i1p1f1~4
1661,2035,0.8449387975779814,tas,ssp245~r3i1p1f1~4
1662,2036,0.882659881504253,tas,ssp245~r3i1p1f1~4
1663,2037,1.1371493974290845,tas,ssp245~r3i1p1f1~4
1664,2038,1.0142268159891614,tas,ssp245~r3i1p1f1~4
1687,2075,2.3675254104313126,tas,ssp245~r3i1p1f1~4
1688,2076,2.3677852100692007,tas,ssp245~r3i1p1f1~4
1689,2077,2.198916169582162,tas,ssp245~r3i1p1f1~4
1690,2078,2.451403363449856,tas,ssp245~r3i1p1f1~4
1691,2079,2.543713525710757,tas,ssp245~r3i1p1f1~4
1692,2080,2.667890851833363,tas,ssp245~r3i1p1f1~4
1693,2081,2.688534928341141,tas,ssp245~r3i1p1f1~4
1694,2082,2.715979240273896,tas,ssp245~r3i1p1f1~4
1695,2083,2.9304699812577724,tas,ssp245~r3i1p1f1~4
1689,2084,2.198916169582162,tas,ssp245~r3i1p1f1~4
1690,2085,2.451403363449856,tas,ssp245~r3i1p1f1~4
1691,2086,2.543713525710757,tas,ssp245~r3i1p1f1~4
1692,2087,2.667890851833363,tas,ssp245~r3i1p1f1~4
1693,2088,2.688534928341141,tas,ssp245~r3i1p1f1~4
1694,2089,2.715979240273896,tas,ssp245~r3i1p1f1~4
1695,2090,2.9304699812577724,tas,ssp245~r3i1p1f1~4
1696,2091,2.683019559795241,tas,ssp245~r3i1p1f1~4
1697,2092,2.8591425339841408,tas,ssp245~r3i1p1f1~4
1690,2093,2.451403363449856,tas,ssp245~r3i1p1f1~4
1691,2094,2.543713525710757,tas,ssp245~r3i1p1f1~4
1692,2095,2.667890851833363,tas,ssp245~r3i1p1f1~4
1693,2096,2.688534928341141,tas,ssp245~r3i1p1f1~4
1694,2097,2.715979240273896,tas,ssp245~r3i1p1f1~4
1695,2098,2.9304699812577724,tas,ssp245~r3i1p1f1~4
1696,2099,2.683019559795241,tas,ssp245~r3i1p1f1~4
1697,2100,2.8591425339841408,tas,ssp245~r3i1p1f1~4
674,2021,0.3418920158913465,tas,ssp245~r3i1p1f1~4
675,2022,0.3973635358943852,tas,ssp245~r3i1p1f1~4
676,2023,0.4404423857390611,tas,ssp245~r3i1p1f1~4
677,2024,0.4388216236346238,tas,ssp245~r3i1p1f1~4
678,2025,0.4466755994263849,tas,ssp245~r3i1p1f1~4
679,2026,0.4079555032231496,tas,ssp245~r3i1p1f1~4
680,2027,0.515191399204582,tas,ssp245~r3i1p1f1~4
681,2028,0.630155916484398,tas,ssp245~r3i1p1f1~4
682,2029,0.604294015220546,tas,ssp245~r3i1p1f1~4
712,2048,1.6167645142479046,tas,ssp245~r3i1p1f1~4
713,2049,1.7382462615632337,tas,ssp245~r3i1p1f1~4
714,2050,1.5619418265598028,tas,ssp245~r3i1p1f1~4
715,2051,1.7772460066802296,tas,ssp245~r3i1p1f1~4
716,2052,1.574118763338447,tas,ssp245~r3i1p1f1~4
717,2053,1.703817083596391,tas,ssp245~r3i1p1f1~4
718,2054,1.608781451417201,tas,ssp245~r3i1p1f1~4
719,2055,1.7165791614756358,tas,ssp245~r3i1p1f1~4
720,2056,1.6209146270094834,tas,ssp245~r3i1p1f1~4
